,XGCSWGS84,YGCSWGS84,UKATEGORIE
82251,11.43511049500006,48.14442417700008,3
82254,11.446640729000023,48.14601409800008,3
82255,11.474752151000075,48.14533066800004,3
82260,11.465961934000063,48.20965952400008,3
82264,11.63459801600004,48.12729799400007,3
82277,11.615990912000028,48.15134101900002,3
82305,11.527631818000032,48.22408345400004,3
82322,11.487975177000068,48.086074051000026,3
82354,11.597689030000026,48.173762460000034,3
82368,11.47179155200007,48.14542803500007,3
82414,11.581653902000028,48.10589205100007,3
82420,11.500249213000076,48.14334167700008,3
82511,11.480204763000074,48.21676084000006,3
82570,11.59561712200002,48.17879722700008,3
82604,11.471155303000046,48.146527521000046,3
82658,11.61497567500004,48.13687503300008,3
82669,11.615945039000051,48.19416666500008,3
82678,11.554161919000023,48.11255696600006,3
82681,11.478777897000043,48.14520145300003,3
82683,11.55185558200003,48.11230814900006,2
82839,11.645203582000022,48.087842883000064,3
82858,11.496067997000068,48.19421508100004,3
82861,11.584251078000024,48.19592974400008,2
82938,11.473817423000073,48.20972427000004,3
82981,11.502383304000034,48.112155459000064,3
82983,11.54113957800007,48.186156495000034,3
82992,11.599084858000026,48.16969858600004,3
83001,11.60246442400006,48.17821559400005,3
83007,11.407262093000044,48.12799957200008,3
83051,11.479598490000058,48.145175875000064,3
83066,11.606639248000022,48.15630707400004,3
83067,11.484395875000075,48.20944442900003,3
83080,11.614255789000026,48.11150588500004,3
83121,11.53682608500003,48.09016557500007,3
83140,11.683410590000053,48.11840211100008,3
83191,11.41106705200002,48.197744476000025,2
83224,11.485211357000026,48.11417800200008,2
83228,11.51740471100004,48.11044431900008,3
83253,11.45680696200003,48.16527676500005,3
83254,11.653866626000024,48.09412584400008,3
83258,11.441257672000065,48.14565408800007,3
83262,11.585489298000027,48.17778479000003,3
83265,11.612287989000038,48.11035531800008,3
83311,11.522495054000046,48.10990878400003,3
83375,11.664192849000074,48.12151674400008,3
83395,11.564340401000038,48.11299631400004,3
83462,11.671117271000073,48.11955919500008,3
83463,11.598069629000063,48.107289450000046,3
83469,11.522695617000068,48.10999696900007,3
83565,11.643557086000044,48.21262067300007,3
83591,11.418826559000024,48.169891086000064,3
83601,11.419649286000038,48.170617926000034,3
83610,11.539451745000065,48.11286792700008,2
83636,11.62009267700006,48.12034765200008,3
83680,11.537276576000068,48.157539204000045,3
83681,11.397248587000036,48.179722438000056,2
83698,11.54099118800002,48.18465323300006,3
83702,11.462134688000049,48.17706880600008,3
83793,11.46969643700004,48.114888000000064,3
83801,11.522370618000023,48.12642679100002,3
83870,11.496968407000054,48.14368675000002,2
83874,11.62290585900007,48.12977613500004,3
83882,11.615673833000074,48.15411513500004,3
83941,11.478843908000044,48.12323560100003,3
83946,11.657534823000049,48.13884077200004,3
83955,11.549485350000054,48.17613683800005,3
83956,11.539021867000033,48.09141066800004,3
83976,11.667892021000055,48.08852029100007,3
84054,11.593063761000051,48.105935258000045,3
84057,11.53408751400002,48.14008818000008,2
84061,11.62590990700005,48.10169523000008,2
84063,11.474073677000035,48.08936668200005,3
84069,11.530491436000034,48.18744491500007,2
84094,11.49572173200005,48.19425589200006,3
84106,11.424712963000047,48.17423306500008,2
84183,11.52272514300006,48.14082458000007,3
84258,11.522063712000032,48.14098094600007,3
84264,11.495502675000068,48.19442261600005,3
84299,11.436486480000042,48.18681994200006,3
84317,11.584793759000036,48.18209168300008,3
84355,11.554394721000053,48.11235581100004,3
84372,11.541255639000042,48.18644958400006,3
84416,11.598000782000042,48.168188609000026,3
84478,11.601138798000022,48.160016788000064,3
84487,11.612287989000038,48.11035531800008,3
84588,11.61905702300004,48.19098327000006,3
84640,11.649824571000067,48.10341748200005,3
84662,11.541092525000067,48.094110157000046,3
84678,11.599333175000028,48.16131971900006,3
84680,11.573001574000044,48.17781370100005,3
84703,11.456041251000045,48.15064271500007,3
84707,11.553941895000037,48.22679255700008,3
84710,11.397976336000056,48.13651094200002,3
84721,11.495527233000075,48.14383048700006,3
84763,11.585151688000051,48.17948878200008,3
84912,11.40736161600006,48.17651221300008,2
84941,11.551683026000036,48.18609687500003,3
84947,11.593781644000046,48.17604818500007,3
84962,11.586315653000042,48.205556952000045,3
84996,11.411005007000028,48.16494286300008,3
85012,11.501930383000058,48.112063380000045,3
85013,11.579547018000028,48.10799407300004,3
85074,11.557887245000074,48.17617051100007,3
85085,11.456256943000028,48.15096748000008,2
85099,11.540822148000077,48.186493057000064,2
85127,11.537556081000048,48.15969264300002,2
85140,11.512541749000036,48.124601730000045,3
85180,11.639354000000026,48.24140814100008,3
85196,11.567450864000024,48.17654277400004,3
85200,11.634241127000053,48.12746270000008,3
85236,11.587760222000044,48.21300374000003,3
85240,11.65697453100006,48.13942613800003,3
85257,11.628515277000076,48.21940063400008,3
85260,11.613814286000036,48.11109753900007,3
85341,11.48829358200004,48.144554690000064,3
85376,11.701104242000042,48.113300295000045,2
85384,11.512132879000037,48.107869203000064,3
85392,11.61422279200002,48.190746571000034,3
85415,11.613627354000071,48.10427085800006,3
85493,11.713152828000034,48.11089987300005,2
85500,11.56983425200002,48.17735538200003,3
85550,11.620259400000066,48.120415106000046,3
85630,11.541419435000025,48.09641038000007,3
85640,11.615914504000044,48.15114310500008,3
85683,11.634681590000072,48.12737484600007,3
85691,11.518882475000057,48.12344489900005,3
85694,11.534773550000068,48.14303433500004,3
85732,11.596494356000052,48.16311343700005,3
85737,11.477500092000072,48.14523917200006,2
85739,11.52281141900005,48.12675564200004,3
85740,11.557760768000035,48.17669008200005,3
85747,11.51386773300004,48.11320263700002,3
85749,11.538265005000028,48.165297819000045,3
85755,11.537574513000038,48.16659424800008,3
85756,11.502400899000063,48.11215511000007,3
85757,11.528111429000036,48.140368169000055,3
85759,11.485592624000049,48.20848482100007,3
85761,11.58459653500006,48.184526653000034,3
85773,11.52860948700004,48.21589469700008,2
85781,11.538229322000063,48.18676139500008,3
85793,11.670216310000058,48.11969583400003,3
85833,11.51819523100005,48.11117474000008,3
85834,11.516869362000024,48.11515795800005,3
85835,11.534001781000027,48.13987793800004,3
85837,11.456307565000031,48.161953795000045,3
85839,11.502884270000038,48.14297627900004,3
85845,11.624443364000058,48.16335443700007,2
85847,11.545783983000035,48.11188071500004,3
85854,11.651620854000043,48.10441538600002,3
85861,11.59056227000002,48.090775980000046,3
85939,11.523859316000028,48.14079857100006,2
85952,11.427143975000035,48.14330413500005,3
85954,11.56785664000006,48.17666523400004,3
85963,11.529238878000058,48.10998705400005,3
86001,11.635450958000035,48.21793572000007,3
86034,11.587558099000034,48.21281175500008,3
86116,11.63079559600004,48.12829130600005,3
86119,11.55153705300006,48.18625780400004,3
86121,11.618810951000055,48.13048407500003,3
86163,11.61798347100006,48.19836733200003,3
86176,11.54193252500005,48.11141324000005,2
86309,11.620725996000033,48.12254796500008,3
86335,11.53541247000004,48.18696082300005,2
86338,11.68172232200004,48.11884182000006,3
86342,11.585354308000037,48.17848773600008,2
86349,11.586233037000056,48.20608319100006,3
86350,11.544470471000068,48.17631710800004,3
86376,11.44595193300006,48.14592467300008,3
86387,11.457837434000057,48.20613580500003,3
86425,11.673435381000049,48.13831694000004,3
86485,11.617522181000028,48.11197394600004,3
86498,11.485513910000066,48.20866032300006,3
86518,11.587240179000048,48.21028117100008,3
86557,11.618896962000065,48.118136425000046,3
86575,11.536188023000022,48.18690733400008,3
86597,11.536911273000044,48.14997882000006,3
86652,11.611061793000031,48.109851424000055,3
86672,11.615084399000068,48.11198584200008,3
86694,11.596086555000056,48.17400095000005,3
86701,11.584189378000076,48.18943455300007,3
86702,11.558033988000034,48.17638073200004,3
86705,11.49360691000004,48.14401704200003,3
86709,11.589087912000023,48.17712821700008,3
86713,11.457299130000024,48.16629402400008,2
86715,11.60597631500002,48.10878144100008,3
86733,11.533054015000062,48.13287124100003,3
86755,11.584431063000068,48.18821343300005,3
86773,11.534197475000042,48.11082726700005,3
86781,11.707657203000052,48.142164837000045,3
86805,11.53976878900005,48.20339857900007,3
86877,11.498955593000062,48.08698540200004,3
86898,11.62701759600003,48.216379981000046,3
86903,11.394078196000066,48.14437252400006,3
86904,11.620178330000044,48.202717248000056,3
86909,11.548623814000052,48.22654058000006,3
86918,11.560302612000044,48.176020547000064,3
86920,11.479952770000068,48.14516416800007,3
86929,11.620763330000043,48.123014883000046,3
86940,11.555341402000067,48.22681759300008,3
86943,11.490653419000068,48.11305618200004,3
87041,11.53910756600004,48.091516942000055,3
87116,11.456761493000045,48.15084970500004,3
87176,11.541300041000056,48.100752554000046,3
87208,11.56992801100006,48.10461739000005,3
87221,11.467791831000056,48.20958877700008,3
87251,11.480398318000027,48.20955657200005,3
87266,11.53137115100003,48.22048091800008,3
87358,11.597898971000063,48.17317102100003,3
87360,11.519963693000022,48.10976499700007,2
87361,11.533572676000064,48.18710190000007,3
87364,11.431860379000057,48.14395824600008,2
87376,11.478883033000043,48.145198246000064,3
87457,11.61512074600006,48.11215097500008,3
87530,11.423761716000058,48.14284213900004,3
87539,11.537902387000033,48.166717990000045,3
87548,11.63000207400006,48.12840820600008,3
87557,11.526068598000052,48.07759477700006,3
87560,11.584445133000033,48.18806429800002,3
87601,11.615215661000036,48.11187881600006,3
87618,11.491289554000048,48.12409574100008,3
87657,11.54356932500002,48.20004331000007,3
87659,11.676662539000064,48.08420733200006,3
87680,11.622263135000026,48.16118672400006,3
87687,11.503595922000043,48.11215780200007,3
87721,11.614899189000027,48.15262283800007,2
87753,11.433622006000064,48.18171820200007,3
87762,11.53752178700006,48.16577121500006,3
87771,11.59878051000004,48.18171112100004,3
87795,11.442782518000058,48.14557309700008,3
87878,11.460539321000056,48.18725706200007,3
87895,11.485179643000038,48.21026786600004,1
87898,11.516864799000077,48.12417850500003,3
87900,11.525999739000042,48.07752832500007,3
87901,11.412946534000072,48.16618961600005,3
87905,11.616551939000033,48.11360081200007,3
87947,11.48585689600003,48.208010436000045,3
87952,11.651600549000024,48.10465243600004,3
87957,11.584333386000026,48.19562902400003,3
87960,11.539782873000036,48.09242345600006,2
88012,11.487404171000035,48.08644829200006,2
88099,11.540674447000072,48.17638667200004,2
88128,11.500336118000064,48.14343958500008,3
88143,11.498679465000066,48.10102516400008,1
88185,11.480655392000074,48.20952579000004,3
88202,11.43508633400006,48.144420989000025,2
88217,11.537837876000026,48.16571853600004,2
88222,11.53121361600006,48.08261878300005,3
88229,11.51821132200007,48.141413156000056,3
88255,11.513357032000044,48.108264476000045,3
88292,11.397790887000042,48.136852790000034,3
88298,11.479952019000052,48.14516419400008,3
88305,11.620288723000044,48.12049782500002,2
88325,11.54761521100005,48.17628625300006,3
88348,11.591531497000062,48.17616961400006,2
88353,11.494313713000054,48.11229539300008,2
88378,11.622958018000077,48.20828197900005,2
88408,11.53019768300004,48.18815319200007,3
88448,11.517024110000024,48.114249751000045,3
88563,11.543031666000047,48.176552310000034,3
88655,11.651606719000029,48.10438485700007,3
88675,11.393937640000049,48.14601471800007,3
88682,11.624282885000072,48.12949259200008,3
88696,11.620093782000026,48.12035014500003,3
88711,11.553822791000073,48.18286649200007,3
88716,11.394912584000052,48.13761963600008,2
88721,11.480339138000032,48.11517970800002,3
88733,11.503417590000026,48.143277788000034,3
88742,11.508823460000032,48.12528033500007,3
88743,11.604526560000068,48.15715483300005,3
88744,11.493411124000032,48.14403638100004,3
88748,11.484929867000062,48.21205581500004,3
