OBJECTID,XGCSWGS84,YGCSWGS84,UKATEGORIE
98571,11.402857505,48.1286654850001,3
98584,11.6469770900001,48.210073337,3
98618,11.6138543920001,48.106400436000094,3
98636,11.4928421440001,48.144094083,3
98653,11.5961940670001,48.106672547000095,3
98687,11.514822318,48.1418169950001,3
98698,11.654016208,48.094077697,3
98711,11.6153952980001,48.193398109,3
98736,11.6286542140001,48.219681527,3
98748,11.5966465980001,48.166077644,3
98760,11.60411004,48.108555975000094,3
98762,11.537214002,48.156626086000095,3
98773,11.5854381020001,48.1778811680001,3
98781,11.51633932,48.1132317500001,3
98797,11.5603798550001,48.1127100950001,3
98847,11.494766667,48.08479020200009,3
98854,11.5248323750001,48.1098888820001,3
98920,11.4802144940001,48.216751618,3
98954,11.5379870090001,48.186780103,3
98960,11.4612452920001,48.207175991,3
98976,11.5843006870001,48.189729963,3
98977,11.5286600470001,48.1299560740001,3
98994,11.6260618260001,48.101003147,3
99040,11.615938365,48.19415314100009,3
99072,11.709457125,48.142104684000095,3
99147,11.5174793190001,48.111667707,3
99164,11.5411334670001,48.10129161,3
99182,11.5029405450001,48.143313079000094,3
99184,11.617651305,48.1153457020001,3
99216,11.392517986,48.1368822790001,3
99232,11.599283804,48.161442171,3
99251,11.491500844,48.201561504,3
99252,11.5412308430001,48.1008205140001,3
99290,11.5335194190001,48.1871060930001,3
99299,11.616194577,48.113179288,3
99401,11.661773554,48.090623416,3
99407,11.5179284330001,48.14145216,3
99425,11.4857830460001,48.209046788000094,3
99462,11.456630621,48.164991352000094,3
99482,11.62019696,48.120627423,3
99542,11.5511649690001,48.079157659,3
99557,11.50341759,48.143277788,3
99560,11.507864043,48.112579424,3
99590,11.540425855,48.09327824500009,3
99639,11.5319556270001,48.187208224000095,3
99649,11.576080517,48.111302487,3
99715,11.573229848,48.178173175,3
99719,11.467578857,48.20993498600009,3
99735,11.3941090760001,48.1461713800001,3
99740,11.664298339,48.121468539,3
99770,11.5854155490001,48.201044182,3
99792,11.455831265,48.204872393000095,3
99843,11.690482892,48.11768117300009,3
99845,11.5393888630001,48.11283259,3
99878,11.4368818840001,48.196397357000095,3
99880,11.524590233,48.128111905,3
99890,11.521994583,48.189820916,3
99907,11.584332439,48.195623169,3
99926,11.530099583,48.187656868,3
99952,11.51441737,48.10880159,3
99981,11.620266293,48.12043441,3
99985,11.7086300620001,48.1426775510001,3
99990,11.6138395130001,48.106487164,3
99992,11.526087126,48.077613339,3
100013,11.489151825,48.077681779,3
100069,11.6176816130001,48.1154053430001,3
100075,11.522687654,48.1408287130001,3
100079,11.584052333,48.191099552,3
100095,11.620893149,48.130120026,3
100108,11.529262073,48.109989056000096,3
100146,11.7098602950001,48.142087303,3
100200,11.5413128810001,48.186395761,3
100249,11.5151371690001,48.141780129,3
100260,11.5488264420001,48.176143548,3
100372,11.550765111,48.1761237920001,3
100383,11.5053260330001,48.088180234,3
100388,11.585510771,48.177701336,3
100400,11.4846840220001,48.2127476950001,3
100425,11.5026531940001,48.192942374,3
100430,11.506322626,48.142780583,3
100432,11.435114734,48.144424737000094,3
100457,11.615679846,48.22599366600009,3
100507,11.638890294,48.105824111000096,3
100517,11.4188334680001,48.169895696,3
100523,11.4856667450001,48.086683506,3
100535,11.5796669000001,48.177564555000096,3
100558,11.53533665,48.1457203890001,3
100566,11.6041610450001,48.108562282,3
100580,11.511770567,48.1074599620001,3
100684,11.5456290830001,48.111868088000094,3
100701,11.579448729,48.1085704610001,3
100740,11.3944012640001,48.1443294160001,3
100746,11.560470455,48.112722035,3
100747,11.6498021730001,48.103343071,3
100791,11.5167997030001,48.110040599000094,3
100861,11.578591433,48.110451637,3
100872,11.688332485,48.117887627000094,3
100893,11.614741023,48.1379935030001,3
100897,11.614305152,48.152944442,3
100923,11.596842312,48.166427497,3
100931,11.585742893,48.202545323,3
100939,11.4997227600001,48.19324233,3
100981,11.589864726,48.176835888,3
101020,11.5154272940001,48.124374059,3
101023,11.6228236330001,48.129714577000094,3
101031,11.6105648500001,48.154607097000095,3
101047,11.587074812,48.210405386,3
101070,11.5568683330001,48.0905699570001,3
101160,11.3939354120001,48.1444946340001,3
101174,11.5126345580001,48.142067013,3
101179,11.617404918,48.1121596020001,3
101215,11.6182299380001,48.1166183550001,3
101222,11.5398231390001,48.109861519,3
101228,11.615983799,48.150783351,3
101313,11.603696816,48.157436622,3
101341,11.4234683230001,48.173154684000096,3
101379,11.585068709,48.177815922,3
101383,11.412834036,48.164970629,3
101391,11.6159013430001,48.132435440000094,3
101498,11.5211868220001,48.090491645,3
101521,11.4814946390001,48.088000849,3
101542,11.594539465,48.177714069,3
101684,11.487513177,48.086419559,3
101687,11.4238101500001,48.142848928,3
101698,11.624803931,48.092410354,3
101738,11.634574537,48.127302624,3
101772,11.398267963,48.1386953320001,3
101776,11.430052806,48.1520285780001,3
101816,11.624466866,48.163379548000094,3
101848,11.444115697,48.20447301200009,3
101977,11.4774209120001,48.115599837,3
101996,11.5346849640001,48.142311425000095,3
102036,11.5363554200001,48.146273147,3
102054,11.457043523,48.153268761,3
102155,11.7023855580001,48.112811224,3
102177,11.5119977050001,48.142138696000096,3
102219,11.5184725020001,48.123963901000096,3
102259,11.5412557650001,48.100732610000094,3
102268,11.5931331260001,48.105958484,3
102309,11.5167465220001,48.124194418000094,3
102407,11.542280083,48.228209386000096,3
102413,11.683577267,48.118486223,3
102431,11.5139261370001,48.113294253,3
102432,11.584753028,48.1840792190001,3
102437,11.518800685,48.141292366000094,3
102462,11.4234280380001,48.142793511,3
102483,11.5844331760001,48.1881898400001,3
102509,11.5843192630001,48.189491508000096,3
102583,11.6244616930001,48.2112564080001,3
102625,11.523757507,48.07576809300009,3
102636,11.600253632,48.176068358000094,3
102682,11.4957358450001,48.086367676000094,3
102727,11.625798618,48.10288083900009,3
102747,11.617401069,48.137037492,3
102824,11.56669276,48.112597914,3
102844,11.395873022,48.140887263000096,3
102879,11.6256399690001,48.1978856150001,3
102881,11.600002024,48.107702287000095,3
102887,11.4238993120001,48.142861005,3
102914,11.6038341010001,48.17932859100009,3
102935,11.626065222,48.1009790790001,3
102956,11.6648535030001,48.121400812,3
102966,11.5341724260001,48.1361753630001,3
103021,11.58546654,48.177828083000094,3
103032,11.461386814,48.17933012,3
103042,11.5843052390001,48.189671529000094,3
103086,11.5024793330001,48.1120316540001,3
103099,11.3923982380001,48.14613451700009,3
103160,11.601769582,48.159251746000095,3
103228,11.486038013,48.086722385,3
103279,11.6244695670001,48.2112726620001,3
103312,11.584314507,48.187982019000096,3
103405,11.620279705,48.120472104,3
103407,11.541329634,48.095111035000095,3
103510,11.645231804,48.091792723,3
